(0, 1),
(1, 2),
(1, 12),
(2, 3),
(2, 13),
(3, 4),
(3, 14),
(4, 5),
(4, 15),
(5, 6),
(5, 16),
(6, 7),
(6, 17),
(7, 8),
(7, 18),
(8, 9),
(8, 19),
(9, 10),
(9, 20),
(10, 11),
(10, 21),
(11, 22),
(12, 13),
(12, 23),
(13, 14),
(13, 24),
(14, 15),
(14, 25),
(15, 16),
(15, 26),
(16, 17),
(16, 27),
(17, 18),
(17, 28),
(18, 19),
(18, 29),
(19, 20),
(19, 30),
(20, 21),
(20, 31),
(21, 22),
(21, 32),
(22, 33),
(23, 24),
(23, 34),
(24, 25),
(24, 35),
(25, 26),
(25, 36),
(26, 27),
(26, 37),
(27, 28),
(27, 38),
(28, 29),
(28, 39),
(29, 30),
(29, 40),
(30, 31),
(30, 41),
(31, 32),
(31, 42),
(32, 33),
(32, 43),
(33, 44),
(34, 35),
(34, 45),
(35, 36),
(35, 46),
(36, 37),
(36, 47),
(37, 38),
(37, 48),
(38, 39),
(38, 49),
(39, 40),
(39, 50),
(40, 41),
(40, 51),
(41, 42),
(41, 52),
(42, 43),
(42, 53),
(43, 44),
(43, 54),
(44, 55),
(45, 46),
(45, 56),
(46, 47),
(46, 57),
(47, 48),
(47, 58),
(48, 49),
(48, 59),
(49, 50),
(49, 60),
(50, 51),
(50, 61),
(51, 52),
(51, 62),
(52, 53),
(52, 63),
(53, 54),
(53, 64),
(54, 55),
(54, 65),
(55, 66),
(56, 57),
(56, 67),
(57, 58),
(57, 68),
(58, 59),
(58, 69),
(59, 60),
(59, 70),
(60, 61),
(60, 71),
(61, 62),
(61, 72),
(62, 63),
(62, 73),
(63, 64),
(63, 74),
(64, 65),
(64, 75),
(65, 66),
(65, 76),
(66, 77),
(67, 68),
(67, 78),
(68, 69),
(68, 79),
(69, 70),
(69, 80),
(70, 71),
(70, 81),
(71, 72),
(71, 82),
(72, 73),
(72, 83),
(73, 74),
(73, 84),
(74, 75),
(74, 85),
(75, 76),
(75, 86),
(76, 77),
(76, 87),
(77, 88),
(78, 79),
(78, 89),
(79, 80),
(79, 90),
(80, 81),
(80, 91),
(81, 82),
(81, 92),
(82, 83),
(82, 93),
(83, 84),
(83, 94),
(84, 85),
(84, 95),
(85, 86),
(85, 96),
(86, 87),
(86, 97),
(87, 88),
(87, 98),
(88, 99),
(89, 90),
(89, 100),
(90, 91),
(90, 101),
(91, 92),
(91, 102),
(92, 93),
(92, 103),
(93, 94),
(93, 104),
(94, 95),
(94, 105),
(95, 96),
(95, 106),
(96, 97),
(96, 107),
(97, 98),
(97, 108),
(98, 99),
(98, 109),
(99, 110),
(100, 101),
(100, 111),
(101, 102),
(101, 112),
(102, 103),
(102, 113),
(103, 104),
(103, 114),
(104, 105),
(104, 115),
(105, 106),
(105, 116),
(106, 107),
(106, 117),
(107, 108),
(107, 118),
(108, 109),
(108, 119),
(109, 110),
(109, 120),
(110, 121),
(111, 112),
(112, 113),
(113, 114),
(114, 115),
(115, 116),
(116, 117),
(117, 118),
(118, 119),
(119, 120),
(120, 121),
(1, 0),
(2, 1),
(12, 1),
(3, 2),
(13, 2),
(4, 3),
(14, 3),
(5, 4),
(15, 4),
(6, 5),
(16, 5),
(7, 6),
(17, 6),
(8, 7),
(18, 7),
(9, 8),
(19, 8),
(10, 9),
(20, 9),
(11, 10),
(21, 10),
(22, 11),
(13, 12),
(23, 12),
(14, 13),
(24, 13),
(15, 14),
(25, 14),
(16, 15),
(26, 15),
(17, 16),
(27, 16),
(18, 17),
(28, 17),
(19, 18),
(29, 18),
(20, 19),
(30, 19),
(21, 20),
(31, 20),
(22, 21),
(32, 21),
(33, 22),
(24, 23),
(34, 23),
(25, 24),
(35, 24),
(26, 25),
(36, 25),
(27, 26),
(37, 26),
(28, 27),
(38, 27),
(29, 28),
(39, 28),
(30, 29),
(40, 29),
(31, 30),
(41, 30),
(32, 31),
(42, 31),
(33, 32),
(43, 32),
(44, 33),
(35, 34),
(45, 34),
(36, 35),
(46, 35),
(37, 36),
(47, 36),
(38, 37),
(48, 37),
(39, 38),
(49, 38),
(40, 39),
(50, 39),
(41, 40),
(51, 40),
(42, 41),
(52, 41),
(43, 42),
(53, 42),
(44, 43),
(54, 43),
(55, 44),
(46, 45),
(56, 45),
(47, 46),
(57, 46),
(48, 47),
(58, 47),
(49, 48),
(59, 48),
(50, 49),
(60, 49),
(51, 50),
(61, 50),
(52, 51),
(62, 51),
(53, 52),
(63, 52),
(54, 53),
(64, 53),
(55, 54),
(65, 54),
(66, 55),
(57, 56),
(67, 56),
(58, 57),
(68, 57),
(59, 58),
(69, 58),
(60, 59),
(70, 59),
(61, 60),
(71, 60),
(62, 61),
(72, 61),
(63, 62),
(73, 62),
(64, 63),
(74, 63),
(65, 64),
(75, 64),
(66, 65),
(76, 65),
(77, 66),
(68, 67),
(78, 67),
(69, 68),
(79, 68),
(70, 69),
(80, 69),
(71, 70),
(81, 70),
(72, 71),
(82, 71),
(73, 72),
(83, 72),
(74, 73),
(84, 73),
(75, 74),
(85, 74),
(76, 75),
(86, 75),
(77, 76),
(87, 76),
(88, 77),
(79, 78),
(89, 78),
(80, 79),
(90, 79),
(81, 80),
(91, 80),
(82, 81),
(92, 81),
(83, 82),
(93, 82),
(84, 83),
(94, 83),
(85, 84),
(95, 84),
(86, 85),
(96, 85),
(87, 86),
(97, 86),
(88, 87),
(98, 87),
(99, 88),
(90, 89),
(100, 89),
(91, 90),
(101, 90),
(92, 91),
(102, 91),
(93, 92),
(103, 92),
(94, 93),
(104, 93),
(95, 94),
(105, 94),
(96, 95),
(106, 95),
(97, 96),
(107, 96),
(98, 97),
(108, 97),
(99, 98),
(109, 98),
(110, 99),
(101, 100),
(111, 100),
(102, 101),
(112, 101),
(103, 102),
(113, 102),
(104, 103),
(114, 103),
(105, 104),
(115, 104),
(106, 105),
(116, 105),
(107, 106),
(117, 106),
(108, 107),
(118, 107),
(109, 108),
(119, 108),
(110, 109),
(120, 109),
(121, 110),
(112, 111),
(113, 112),
(114, 113),
(115, 114),
(116, 115),
(117, 116),
(118, 117),
(119, 118),
(120, 119),
(121, 120),
(0, 1),
(1, 2),
(1, 12),
(2, 3),
(2, 13),
(3, 4),
(3, 14),
(4, 5),
(4, 15),
(5, 6),
(5, 16),
(6, 7),
(6, 17),
(7, 8),
(7, 18),
(8, 9),
(8, 19),
(9, 10),
(9, 20),
(10, 11),
(10, 21),
(11, 22),
(12, 13),
(12, 23),
(13, 14),
(13, 24),
(14, 15),
(14, 25),
(15, 16),
(15, 26),
(16, 17),
(16, 27),
(17, 18),
(17, 28),
(18, 19),
(18, 29),
(19, 20),
(19, 30),
(20, 21),
(20, 31),
(21, 22),
(21, 32),
(22, 33),
(23, 24),
(23, 34),
(24, 25),
(24, 35),
(25, 26),
(25, 36),
(26, 27),
(26, 37),
(27, 28),
(27, 38),
(28, 29),
(28, 39),
(29, 30),
(29, 40),
(30, 31),
(30, 41),
(31, 32),
(31, 42),
(32, 33),
(32, 43),
(33, 44),
(34, 35),
(34, 45),
(35, 36),
(35, 46),
(36, 37),
(36, 47),
(37, 38),
(37, 48),
(38, 39),
(38, 49),
(39, 40),
(39, 50),
(40, 41),
(40, 51),
(41, 42),
(41, 52),
(42, 43),
(42, 53),
(43, 44),
(43, 54),
(44, 55),
(45, 46),
(45, 56),
(46, 47),
(46, 57),
(47, 48),
(47, 58),
(48, 49),
(48, 59),
(49, 50),
(49, 60),
(50, 51),
(50, 61),
(51, 52),
(51, 62),
(52, 53),
(52, 63),
(53, 54),
(53, 64),
(54, 55),
(54, 65),
(55, 66),
(56, 57),
(56, 67),
(57, 58),
